function_velocity 2 390 0	
time	velocity
0	0
0.01	-0.000164364
0.02	-0.000328727
0.03	-0.000493091
0.04	-0.000657455
0.05	-0.000821818
0.06	-0.000986182
0.07	-0.001150546
0.08	-0.001157178
0.09	-0.001150642
0.1	-0.001144106
0.11	-0.00113757
0.12	-0.001131034
0.13	-0.001124497
0.14	-0.001117961
0.15	-0.001111425
0.16	-0.001104889
0.17	-0.001098354
0.18	-0.001091818
0.19	-0.001085282
0.2	-0.001078746
0.21	-0.00107221
0.22	-0.002547528
0.23	-0.004521384
0.24	-0.00649524
0.25	-0.008469096
0.26	-0.010481168
0.27	-0.01409047
0.28	-0.017699773
0.29	-0.021309075
0.3	-0.024918377
0.31	-0.02852768
0.32	-0.033443756
0.33	-0.039717764
0.34	-0.045991772
0.35	-0.05226578
0.36	-0.0686913
0.37	-0.09653505
0.38	-0.1243788
0.39	-0.16027945
0.4	-0.233747659
0.41	-0.417042455
0.42	-0.664441274
0.43	-0.715103551
0.44	-0.70675918
0.45	-0.698414809
0.46	-0.690070438
0.47	-0.681726067
0.48	-0.668313352
0.49	-0.649138268
0.5	-0.629963184
0.51	-0.604303368
0.52	-0.569337851
0.53	-0.534372334
0.54	-0.499406816
0.55	-0.464441298
0.56	-0.429475782
0.57	-0.367899947
0.58	-0.280663521
0.59	-0.19991575
0.6	-0.162118066
0.61	-0.142942982
0.62	-0.123767898
0.63	-0.108541299
0.64	-0.095907966
0.65	-0.083274632
0.66	-0.070641299
0.67	-0.058007966
0.68	-0.045374633
0.69	-0.0327413
0.7	-0.020107966
0.71	-0.016544574
0.72	-0.014181063
0.73	-0.011817553
0.74	-0.009454042
0.75	-0.007090532
0.76	-0.004727021
0.77	-0.002363511
0.78	0
0.79	-0.000164364
0.8	-0.000328727
0.81	-0.000493091
0.82	-0.000657455
0.83	-0.000821818
0.84	-0.000986182
0.85	-0.001150546
0.86	-0.001157178
0.87	-0.001150642
0.88	-0.001144106
0.89	-0.00113757
0.9	-0.001131034
0.91	-0.001124497
0.92	-0.001117961
0.93	-0.001111425
0.94	-0.001104889
0.95	-0.001098354
0.96	-0.001091818
0.97	-0.001085282
0.98	-0.001078746
0.99	-0.00107221
1	-0.002547528
1.01	-0.004521384
1.02	-0.00649524
1.03	-0.008469096
1.04	-0.010481168
1.05	-0.01409047
1.06	-0.017699773
1.07	-0.021309075
1.08	-0.024918377
1.09	-0.02852768
1.1	-0.033443756
1.11	-0.039717764
1.12	-0.045991772
1.13	-0.05226578
1.14	-0.0686913
1.15	-0.09653505
1.16	-0.1243788
1.17	-0.16027945
1.18	-0.233747659
1.19	-0.417042455
1.2	-0.664441274
1.21	-0.715103551
1.22	-0.70675918
1.23	-0.698414809
1.24	-0.690070438
1.25	-0.681726067
1.26	-0.668313352
1.27	-0.649138268
1.28	-0.629963184
1.29	-0.604303368
1.3	-0.569337851
1.31	-0.534372334
1.32	-0.499406816
1.33	-0.464441298
1.34	-0.429475782
1.35	-0.367899947
1.36	-0.280663521
1.37	-0.19991575
1.38	-0.162118066
1.39	-0.142942982
1.4	-0.123767898
1.41	-0.108541299
1.42	-0.095907966
1.43	-0.083274632
1.44	-0.070641299
1.45	-0.058007966
1.46	-0.045374633
1.47	-0.0327413
1.48	-0.020107966
1.49	-0.016544574
1.5	-0.014181063
1.51	-0.011817553
1.52	-0.009454042
1.53	-0.007090532
1.54	-0.004727021
1.55	-0.002363511
1.56	0
1.57	-0.000164364
1.58	-0.000328727
1.59	-0.000493091
1.6	-0.000657455
1.61	-0.000821818
1.62	-0.000986182
1.63	-0.001150546
1.64	-0.001157178
1.65	-0.001150642
1.66	-0.001144106
1.67	-0.00113757
1.68	-0.001131034
1.69	-0.001124497
1.7	-0.001117961
1.71	-0.001111425
1.72	-0.001104889
1.73	-0.001098354
1.74	-0.001091818
1.75	-0.001085282
1.76	-0.001078746
1.77	-0.00107221
1.78	-0.002547528
1.79	-0.004521384
1.8	-0.00649524
1.81	-0.008469096
1.82	-0.010481168
1.83	-0.01409047
1.84	-0.017699773
1.85	-0.021309075
1.86	-0.024918377
1.87	-0.02852768
1.88	-0.033443756
1.89	-0.039717764
1.9	-0.045991772
1.91	-0.05226578
1.92	-0.0686913
1.93	-0.09653505
1.94	-0.1243788
1.95	-0.16027945
1.96	-0.233747659
1.97	-0.417042455
1.98	-0.664441274
1.99	-0.715103551
2	-0.70675918
2.01	-0.698414809
2.02	-0.690070438
2.03	-0.681726067
2.04	-0.668313352
2.05	-0.649138268
2.06	-0.629963184
2.07	-0.604303368
2.08	-0.569337851
2.09	-0.534372334
2.1	-0.499406816
2.11	-0.464441298
2.12	-0.429475782
2.13	-0.367899947
2.14	-0.280663521
2.15	-0.19991575
2.16	-0.162118066
2.17	-0.142942982
2.18	-0.123767898
2.19	-0.108541299
2.2	-0.095907966
2.21	-0.083274632
2.22	-0.070641299
2.23	-0.058007966
2.24	-0.045374633
2.25	-0.0327413
2.26	-0.020107966
2.27	-0.016544574
2.28	-0.014181063
2.29	-0.011817553
2.3	-0.009454042
2.31	-0.007090532
2.32	-0.004727021
2.33	-0.002363511
2.34	0
2.35	-0.000164364
2.36	-0.000328727
2.37	-0.000493091
2.38	-0.000657455
2.39	-0.000821818
2.4	-0.000986182
2.41	-0.001150546
2.42	-0.001157178
2.43	-0.001150642
2.44	-0.001144106
2.45	-0.00113757
2.46	-0.001131034
2.47	-0.001124497
2.48	-0.001117961
2.49	-0.001111425
2.5	-0.001104889
2.51	-0.001098354
2.52	-0.001091818
2.53	-0.001085282
2.54	-0.001078746
2.55	-0.00107221
2.56	-0.002547528
2.57	-0.004521384
2.58	-0.00649524
2.59	-0.008469096
2.6	-0.010481168
2.61	-0.01409047
2.62	-0.017699773
2.63	-0.021309075
2.64	-0.024918377
2.65	-0.02852768
2.66	-0.033443756
2.67	-0.039717764
2.68	-0.045991772
2.69	-0.05226578
2.7	-0.0686913
2.71	-0.09653505
2.72	-0.1243788
2.73	-0.16027945
2.74	-0.233747659
2.75	-0.417042455
2.76	-0.664441274
2.77	-0.715103551
2.78	-0.70675918
2.79	-0.698414809
2.8	-0.690070438
2.81	-0.681726067
2.82	-0.668313352
2.83	-0.649138268
2.84	-0.629963184
2.85	-0.604303368
2.86	-0.569337851
2.87	-0.534372334
2.88	-0.499406816
2.89	-0.464441298
2.9	-0.429475782
2.91	-0.367899947
2.92	-0.280663521
2.93	-0.19991575
2.94	-0.162118066
2.95	-0.142942982
2.96	-0.123767898
2.97	-0.108541299
2.98	-0.095907966
2.99	-0.083274632
3	-0.070641299
3.01	-0.058007966
3.02	-0.045374633
3.03	-0.0327413
3.04	-0.020107966
3.05	-0.016544574
3.06	-0.014181063
3.07	-0.011817553
3.08	-0.009454042
3.09	-0.007090532
3.1	-0.004727021
3.11	-0.002363511
3.12	0
3.13	-0.000164364
3.14	-0.000328727
3.15	-0.000493091
3.16	-0.000657455
3.17	-0.000821818
3.18	-0.000986182
3.19	-0.001150546
3.2	-0.001157178
3.21	-0.001150642
3.22	-0.001144106
3.23	-0.00113757
3.24	-0.001131034
3.25	-0.001124497
3.26	-0.001117961
3.27	-0.001111425
3.28	-0.001104889
3.29	-0.001098354
3.3	-0.001091818
3.31	-0.001085282
3.32	-0.001078746
3.33	-0.00107221
3.34	-0.002547528
3.35	-0.004521384
3.36	-0.00649524
3.37	-0.008469096
3.38	-0.010481168
3.39	-0.01409047
3.4	-0.017699773
3.41	-0.021309075
3.42	-0.024918377
3.43	-0.02852768
3.44	-0.033443756
3.45	-0.039717764
3.46	-0.045991772
3.47	-0.05226578
3.48	-0.0686913
3.49	-0.09653505
3.5	-0.1243788
3.51	-0.16027945
3.52	-0.233747659
3.53	-0.417042455
3.54	-0.664441274
3.55	-0.715103551
3.56	-0.70675918
3.57	-0.698414809
3.58	-0.690070438
3.59	-0.681726067
3.6	-0.668313352
3.61	-0.649138268
3.62	-0.629963184
3.63	-0.604303368
3.64	-0.569337851
3.65	-0.534372334
3.66	-0.499406816
3.67	-0.464441298
3.68	-0.429475782
3.69	-0.367899947
3.7	-0.280663521
3.71	-0.19991575
3.72	-0.162118066
3.73	-0.142942982
3.74	-0.123767898
3.75	-0.108541299
3.76	-0.095907966
3.77	-0.083274632
3.78	-0.070641299
3.79	-0.058007966
3.8	-0.045374633
3.81	-0.0327413
3.82	-0.020107966
3.83	-0.016544574
3.84	-0.014181063
3.85	-0.011817553
3.86	-0.009454042
3.87	-0.007090532
3.88	-0.004727021
3.89	-0.002363511
